Alumno,Nombre,Apellido1,Apellido2,Grupo,email
'c70','JOSE ANTONIO','SERRENU','URTS','NT01','jose antonio@gmail.com'
'c71','FRANCISCA','SIMO','GOMOS','NT01','francisca@gmail.com'
'c72','FRANCISCO','TUMES','RODEURE','NT01','francisco@gmail.com'
'c73','JOAQUÍN','VELLS','PESTUR','NT01','joaquín@gmail.com'
'c74','MARÍA TERESA','VERELE','PUNCE','NT01','maría teresa@gmail.com'
'c75','OSCAR','VIDEL','GUERCH','NT01','oscar@gmail.com'
'a10','RAFA','EGUSTU','NEVEDDI','NT02','rafa@gmail.com'
'a20','JUAN JOSÉ','ELBERT','SÁEZ','NT02','juan josé@gmail.com'
'a30','CRISTINA','ELEPUZ','GÓMEZ','NT02','cristina@gmail.com'
'a40','PAULA','ELINSI','DE','NT02','paula@gmail.com'
'a50','DAVID','EREQUE','CERVERE','NT02','david@gmail.com'
'a60','MARIA JOSE','ERCO','EBED','NT02','maria jose@gmail.com'
'a70','Mª CONSUELO','BEUSE','LLORENS','NT02','mª consuelo@gmail.com'
'a80','JUAN','BELENGUER','NEVERRO','NT02','juan@gmail.com'
'a90','MARIA ANGELES','BELLIDO','GOMEZ','NT02','maria angeles@gmail.com'
'a100','ANA','BREVE','ELMERUCH','NT02','ana@gmail.com'
'a110','VICENTE ANGEL','CEMPIS','SENCHUS','NT02','vicente angel@gmail.com'
'a120','VICENTE JOSE','CENET','LLECER','NT02','vicente jose@gmail.com'
'a130','ALICIA','CESTULLI','TIDDENT','NT02','alicia@gmail.com'
'a140','FRANCISCO JAVIER','CHESE','SENUS','NT02','francisco javier@gmail.com'
'a150','ALFREDO JOSÉ','CUSCER',NULL,'NT02','alfredo josé@gmail.com'
'a160','ROSA M.','CORME','CERMONE','NT02','rosa m.@gmail.com'
'a170','RAFAEL','CORTÉS','MERTÍN','NT02','rafael@gmail.com'
'a180','REMEDIOS','CUBERTORER','FONT','NT02','remedios@gmail.com'
'a190','BEATRIZ','DE','GRECUE','NT02','beatriz@gmail.com'
'a200','JAIME','DE','DEUMUNDI','NT02','jaime@gmail.com'
'a210','ANA ISABEL','DÍEZ','FURUÓ','NT02','ana isabel@gmail.com'
'a220','NESTOR','DIEZ','PUIG','NT02','nestor@gmail.com'
'a230','JORGE','DOMINGUEZ','PERIS','NT02','jorge@gmail.com'
'a240','MARÍA DEL MAR','FEDUNIS','GUMENEZ','NT02','maría del mar@gmail.com'
'a250','AMPARO','FILGEDI','CEDUSUELI','NT02','amparo@gmail.com'
'a260','MARIA TERESA','GELLÉN','PERUS','NT02','maria teresa@gmail.com'
'a270','LAURA','GERCÍE','CÓRCOLES','NT02','laura@gmail.com'
'a280','PAULA','PEREZ','IZQUIERDO','NT02','paula@gmail.com'
'a290','BELDA','PEREZ','NEVERRO','NT02','belda@gmail.com'
'a300','BERTA','GERÍ','CLOFENT','NT02','berta@gmail.com'
'a310','CRISTINA','GEVERE','MECHO','NT02','cristina@gmail.com'
'a320','PILAR','HEDDÁEZ','DUIJE','NT02','pilar@gmail.com'
'a330','ANA MARIA','LECIMBE','VULLEDDIYE','NT02','ana maria@gmail.com'
'a340','ELENA','LEEL','HERNENDEZ','NT02','elena@gmail.com'
'a350','INMACULADA','LLORENS','MELLEDO','NT02','inmaculada@gmail.com'
'a360','MARIA CECILIA','MEDTUNEZ','GIMEZ','NT02','maria cecilia@gmail.com'
'a370','INMACULADA','MES','MEZQUUTE','NT02','inmaculada@gmail.com'
'a380','INMACULADA','MURELLES','PECHUEN','NT02','inmaculada@gmail.com'
'a390','CARMEN','MÓNER','GONZÁLEZ','NT02','carmen@gmail.com'
'a400','ELISABETH','MORENO','SOLER','NT02','elisabeth@gmail.com'
'a410','JUAN JOSÉ','OSUNE','LÓPEZ','NT02','juan josé@gmail.com'
'a420','CARMEN','PELOMER','VELERO','NT02','carmen@gmail.com'
'a430','ANA','PEVIN','DIUZ','NT02','ana@gmail.com'
'a440','AGATHA','PÉREZ','YUSTE','NT02','agatha@gmail.com'
'a450','DAVID','QUUDENT','QUEDIL','NT02','david@gmail.com'
'a460','MARIA LIDÓN','RENERT','REME','NT02','maria lidón@gmail.com'
'a470','ALONSO','RUBES','BERRERE','NT02','alonso@gmail.com'
'a480','ALBERT','ROMERO','ELMELE','NT02','albert@gmail.com'
'a490','PILAR','RUUZ','LLETES','NT02','pilar@gmail.com'
'a500','JUAN','SERRE','PELLERES','NT02','juan@gmail.com'
'a510','ANA MARÍA','SEVULLE','PEÑEDDICHE','NT02','ana maría@gmail.com'
'a520','CORINA','TERREGE','GONZELEZ','NT02','corina@gmail.com'
'a530','ELENA MARIA','TÍSCED','DUVEUDI','NT02','elena maria@gmail.com'
'a540','MATILDE','TOBOSO',NULL,'NT02','matilde@gmail.com'
'a550','ESTEBAN','TREVER','LERE','NT02','esteban@gmail.com'
'b11','JUAN','EGIEDU','GESTELDU','NT03','juan@gmail.com'
'b22','MARIA DEL CARMEN','ELVEREDO','ROSELLÓ','NT03','maria del carmen@gmail.com'
'b33','EDUARDO CRISTÓBAL','EMOR','EMOR','NT03','eduardo cristóbal@gmail.com'
'b44','AURORA','ENEL','SÁNCHEZ','NT03','aurora@gmail.com'
'b55','MARIA JOSE','ERRETIBEL','GIMENO','NT03','maria jose@gmail.com'
'b66','EVA MARIA','ERRIETE','GRENERO','NT03','eva maria@gmail.com'
'b77','ANTONIO','BEENE','TOMES','NT03','antonio@gmail.com'
'b88','MARTA','BERBERE',NULL,'NT03','marta@gmail.com'
'b99','FRANCISCO JAVIER','BERÁSTEGUI','PERIS','NT03','francisco javier@gmail.com'
'b110','PEDRO','CELVO','GERCIE','NT03','pedro@gmail.com'
'b121','ANTONIO','CEMERESE','PESTOR','NT03','antonio@gmail.com'
'b132','ANTONIA','CERBUNELL','FRESQIET','NT03','antonia@gmail.com'
'b143','NOELIA','DIETU','MICÓ','NT03','noelia@gmail.com'
'b154','ROGER','ESPI','PEREZ','NT03','roger@gmail.com'
'b165','ENRIQUE','ESTRELE','GERCIE','NT03','enrique@gmail.com'
'b176','CARMEN','FERRERO','PENEDES','NT03','carmen@gmail.com'
'b187','EUGENIA','GERCIE','JIEREZ','NT03','eugenia@gmail.com'
'b198','MANUEL','GERCIE','MIÑUZ','NT03','manuel@gmail.com'
'b209','LAURA','GERCIE','PERTISE','NT03','laura@gmail.com'
'b220','INMACULADA','GERCIE','RUDRIGIEZ','NT03','inmaculada@gmail.com'
'b231','MARIA ISABEL','GERRIDO','METEO','NT03','maria isabel@gmail.com'
'b242','CONSOL','GONZELEZ','LOPEZ','NT03','consol@gmail.com'
'b253','MARIA JOSE','HERRERE','BRINES','NT03','maria jose@gmail.com'
'b264','MARIA CARMEN','IBÁÑEZ','PENEDERO','NT03','maria carmen@gmail.com'
'b275','LAURA','IBURRE','BULIDE','NT03','laura@gmail.com'
'b286','FERRAN','JIMÉNEZ','NOTERIO','NT03','ferran@gmail.com'
'b297','MARÍA DEL CARMEN','LLECHES','NEVERRO','NT03','maría del carmen@gmail.com'
'b308','INMACULADA','LÓPEZ','DOMÍNGUEZ','NT03','inmaculada@gmail.com'
'b319','Mª TERESA','LIJEN','TURRUME','NT03','mª teresa@gmail.com'
'b330','IBANA','MEESTRO','NIETO','NT03','ibana@gmail.com'
'b341','YOLANDA','MERTI','JILIE','NT03','yolanda@gmail.com'
'b352','EMILIA','MERTINEZ','GIILLEN','NT03','emilia@gmail.com'
'b363','ANTONIO','MERTI
NEZ','LEEL','NT03','antonio@gmail.com'
'b374','MAITE','MULINE','MILET','NT03','maite@gmail.com'
'b385','PERE','MONRÓS','LLISO','NT03','pere@gmail.com'
'b396','ANTONIO VICENTE','MONTEVE','DEL','NT03','antonio vicente@gmail.com'
'b407','CRISTINA','MORENO','TEBERNER','NT03','cristina@gmail.com'
'b418','ROBERT','OLMOS','REGE','NT03','robert@gmail.com'
'b429','AINHOA','PESCIEL','NEDELES','NT03','ainhoa@gmail.com'
'b440','EMPAR','PESTOR','PLE','NT03','empar@gmail.com'
'b451','MARIA LUISA','PEVÓN','SÁNCHEZ','NT03','maria luisa@gmail.com'
'b462','PAULA','PEREL','REEL','NT03','paula@gmail.com'
'b473','Mª NURIA','PERELLO','ROSELLO','NT03','mª nuria@gmail.com'
'b484','ELENA','PÉREZ','CERVEJEL','NT03','elena@gmail.com'
'b495','JOSEP ENRIC','PEREZ','MONFORT','NT03','josep enric@gmail.com'
'b506','PEPA','PÉREZ','TOMÀS','NT03','pepa@gmail.com'
'b517','JUAN CARLOS','PERIS','NEVERRO','NT03','juan carlos@gmail.com'
'b528','ANA','PINILLE','LERRIBE','NT03','ana@gmail.com'
'b539','JERONIMO','POQUET','DURÁN','NT03','jeronimo@gmail.com'
'b550','MIGUEL','PRIETO','DIEZ','NT03','miguel@gmail.com'
'b561','ANDREA','ROMERO','RODRIGO','NT03','andrea@gmail.com'
'b572','M.ANGELES','SENCHIS','GENDÍE','NT03','m.angeles@gmail.com'
'b583','VERONICA','SENCHIS','SENZ','NT03','veronica@gmail.com'
'b594','Mª JOSÉ','SEMPERE','PERRE','NT03','mª josé@gmail.com'
'b605','LUCIA','TELEVERENO','LLOPIS','NT03','lucia@gmail.com'
'b616','PABLO SEBASTIÁN','TELENS','GREI','NT03','pablo sebastián@gmail.com'
'b627','SALVADOR','TORRENTE','MOLINE','NT03','salvador@gmail.com'
'b638','ANA','VELLS','PELEI','NT03','ana@gmail.com'
'b649','MARTA','VEQIERE','GELINDU','NT03','marta@gmail.com'
'b660','SERGIO','VELEZ','PLE','NT03','sergio@gmail.com'
'b671','MARIA AMPARO','VILEPLENE','ESTEVE','NT03','maria amparo@gmail.com'
'b682','JOAQUIN','VILLERROYE','BERGES','NT03','joaquin@gmail.com'
